index||artist||album||title||duration||playcount||rating
Dance Gavin Dance||||TOTL,IWBTHF v1.2.2_150 bpm [ipsy-dory cloud techno remix]||1:24||||882||
Lil Peep||||Toxic City ft Drip-133||2:58||||589||
Lil Peep||Life is Beautiful||Life is Beautiful (Original Mix)||3:28||||454||
Lil Peep||Come over When You're Sober, Pt. 1||The Brightside||3:37||||414||
Dance Gavin Dance||||TOTL,IWBTHF 143bpm_v1.2.2  [ipsy-dory cloud techno remix]||1:29||||352||
Cashmere Cat||||For Your Eyes Only (lofi hh bootleg)||1:47||||289||
UMI||||Remember Me||3:18||||273||
Bring Me the Horizon||amo||fresh bruises||3:19||||252||
Niki||||Dancing with the Devil||2:41||||229||
Getter||||Solo Feat. Party Nails (kalu Remix)||3:14||||224||
Idealism||||controlla||1:46||||208||
Lil Uzi Vert||||XO TOUR Llif3 (DYZPHORIA Remix)||3:08||||206||
EMI||Planet||Moves||2:12||||197||
Caboose||||End of No Chill Jamz v0.1||0:26||||196||
Lil Peep||||star shopping (prod. kryptik)||2:23||||194||
Billie Eilish||||goodbye||2:00||||193||
Caboose||||Lonely_LoFi v1.2.1||3:03||||190||
TRANCEMAN2000||TRANCEMAN001||Bloodrave||6:34||||187||
Lil Peep||Come over When You're Sober, Pt. 1||Save That Shit||3:52||||176||
Rob Zombie||||Scum of the Earth [HXC RMX]||1:02||||173||
Mr.Kitty||EPHEMERAL||Melting Core||4:09||||172||
RAW||RAW Compilation I First Blood Part1||ABSL - Le Perçant Arcus||7:08||||172||
Caboose x Ipsy-Dory||||Saw Party v2.0||1:45||||170||
iann dior||||Good Day||1:57||||163||
Fabolous feat. Lil Mo||||Can't Let You Go||3:47||||154||
Lil Uzi Vert||||XO TOUR Llif3 (Y2K Trap Remix)||3:10||||147||
My Chemical Romance||||This Jetset Life is Gonna Kill u [2020 cloud techno re-envision, master ozone ON]||1:23||||147||
Yaeji||||Passionfruit (Drake Rework)||6:18||||147||
TWICE||TWICEcoaster : LANE 1||TT||3:34||||137||
Dance Gavin Dance||||TOTL,IWBTHF [ipsy-dory cloud techno remix]_v1.2 143bpm||1:24||||135||
||||rufi-0 - oblivion  remix (ft. Lily Potter)||2:40||||133||
Pierce The Veil||||Caraphernelia||4:29||||129||
Wednesday Campanella||||Momotaro||4:31||||129||
Baltra||Ted||Ahead Of Time||6:59||||124||
Dance Gavin Dance||||TOTL,IWBTHF [ipsy-dory cloud techno remix]_v1.2||1:29||||113||
$UICIDEBOY$||||I NO LONGER FEAR THE RAZOR GUARDING MY HEEL I , II , III , IV||29:26||||111||
||||IZ ONE - La Vie en Rose.mp3||3:39||||107||
Gold Spectacles||||Origami Lover||3:27||||106||
Higher Brothers x HARIKIRI||||Storm||2:59||||103||
血肉果汁機||GIGO||天崩大事件||4:25||||103||
血肉果汁機||GIGO||上山||4:18||||103||
BLVCK CEILING||M I X T V P E||YOUNG||4:36||||102||
Lil Peep||Come over When You're Sober, Pt. 1||Benz Truck (35;8:)||2:41||||102||
Dance Gavin Dance||||TOTL,IWBTHF_150_v1.2.3 [ipsy-dory rmx] [draft]||1:50||||101||
Grimes x HEALTH||||FEEL NOTHING x We Appreciate Power (Dory Ipsy Mashup)||2:57||||98||
wünsche||||sunday vibes||2:01||||98||
Moody Good||Moody Good||Musicbx (feat. Eryn Allen Kane) (Original Mix)||2:48||||96||
Madeon||||All My Friends||3:28||||95||
Thrice||||Black Honey||4:00||||95||
TWICE||||Feel Special||3:41||||95||
Lil Peep||Come over When You're Sober, Pt. 1||Better Off (Dying)||2:35||||94||
GETTER||||phantom of tha opera||1:38||||93||
||||Tinashe- Vulnerable (Gold Fields remix).mp3||6:34||||92||
EMI||Planet||Like Us||2:47||||91||
Purity Ring||Another Eternity||Begin Again||3:38||||90||
||||What So Not - JAGUAR (Original Mix)||4:47||||89||
Tim Tama||Reveries||Temporal Remnants||6:09||||88||
josh pan||the world within||take your time (Original Mix)||4:02||||87||
Lil Peep||||LiL Kennedy||3:19||||86||
RAW||RAW Compilation II: Second Breath (part1)||VII Circle - Disorted Reality||6:06||||86||
Childish Gambino||Because The Internet (Deluxe Edition)||Flight Of The Navigator||5:43||||85||
Dance Gavin Dance||||TOTL,IWBTHF_v2.2.2 extended mix 150-master-kix2-sbx||3:02||||85||
Lil Peep||||Haunt U||3:26||||84||
Twice||||Heart Shaker||3:16||||84||
Caboose||||Lonely_LoFi||3:06||||81||
血肉果汁機||GIGO||泡茶||1:33||||80||
Lil Peep||Come over When You're Sober, Pt. 1||Awful Things||3:35||||79||
TWICE||||FANCY||3:39||||79||
LIL UZI VERT||||1.5- XO TOUR Llif3||3:00||||77||
Tim Tama||Reveries||Mirage||5:59||||77||
Bring Me The Horizon||||nihilist blues ft. Grimes||5:28||||76||
Grimes||||Pretty Dark Demo||4:18||||76||
Childish Gambino||Because The Internet (Deluxe Edition)||Telegraph Ave (Oakland by Lloyd)||3:30||||75||
Denzel Curry||||CLOUT COBAIN CLOUT CO13A1N||3:52||||75||
Petit Biscuit||||Safe (MELVV Remix)||2:57||||75||
Caboose||||Simple Sonata 1.2.2||1:27||||73||
Thrice||The Alchemy Index Volume IV (Earth)||Digging My Own Grave||3:05||||73||
ITZY, BLACKPINK, TWICE, RED VELVET, MOMOLAND f(x)||||Dalla Dalla, Boombayah,TT, Red Flavor MASHUP||5:09||||72||
RAW||RAW Compilation II: Second Breath (part1)||I Hate Models - Pray for Lust (Cleric Remix)||6:45||||72||
Bring Me the Horizon||amo||nihilist blues (feat. Grimes)||5:26||||71||
Higher Brothers||||52 HZ||3:00||||71||
JID||||Off Da Zoinkys||2:55||||71||
Tim Tama||Reveries||Reveries, 1994||5:49||||71||
Crystal Castles||Crystal Castles||Untrust Us||3:07||||70||
Dance Gavin Dance||Acceptance Speech||Strawberry Swisher pt. 3||3:35||||70||
The M Machine||Metropolis Remixed||Black (Trifonic Remix)||3:51||||70||
Dance Gavin Dance||||Turn off the Lights, IWBTTF pt 2 [lofi tube warmth re-envision]||2:25||||69||
ITSOKTOCRY||||SHINIGAMISTARSHIP w ZillaKami (+ othasyde)||2:56||||69||
J.I.D||||151 Rum||2:38||||69||
Kyary Pamyu Pamyu||||Mondai Girl- 80s Cover by #stoppaz & Yuria||4:55||||69||
Star Slinger||||We Could Be More (feat. DWN) [Cyril Hahn Remix]||4:21||||69||
Dance Gavin Dance||Acceptance Speech||The Robot with Human Hair pt. 4||3:33||||68||
My Chemical Romance||Three Cheers For Sweet Revenge||You Know What They Do To Guys Like Us In Prison||2:54||||68||
Tinashe||||Superlove||3:35||||68||
Hundred Waters||Boreal EP||Boreal (Blood Diamonds Remix)||3:45||||67||
ITSOKTOCRY||||I've Seen Satan, He Has Dreadlocks||1:49||||67||
Mike Posner||||I Took A Pill In Ibiza SeeB Remix||3:18||||67||
Niki||||Vintage||3:00||||67||
What So Not||||What So Not OWSLA After Dark Mix||58:02||||67||
Charlotte OC||||Colour My Heart (Yarin Lidor Remix)||5:29||||66||
DOJA CAT||||Casual||4:08||||65||
Lil Peep||||white wine||2:39||||65||
Washed Out||||Million Miles Away||4:49||||65||
Higher Brothers||Type-3 - EP||Nothing Wrong||3:06||||64||
Mark Johns||||Love Letter||4:30||||64||
$UICIDEBOY$ x DENZEL CURRY||||ULTIMATE $UICIDE||2:52||||64||
Bring Me the Horizon||amo||heavy metal (feat. Rahzel)||4:01||||63||
Crystal Castles||Amnesty (I)||Char||3:09||||63||
Hephaistos||Mutter [MUTTER001]||Suende||8:29||||63||
My Chemical Romance||||My Chemical Romance - this jetset life is gonna kill you [ipsy-dory cloud techno remix]_v0.3||2:00||||63||
血肉果汁機||GIGO||清光計畫||3:12||||63||
Klamer||||Social Immunity||6:29||||62||
Childish Gambino||Because The Internet (Deluxe Edition)||The Party||1:31||||61||
Crystal Castles||Crystal Castles||Black Panther||2:58||||61||
Lil Peep||Come over When You're Sober, Pt. 1||U Said||3:45||||61||
Mr.Kitty||EPHEMERAL||The View Isn't The Same||3:57||||61||
Destiny's Child||||Say My Name (Cyril Hahn Remix)||4:20||||60||
Galantis||||Tell Me You Love Me (Dory-Ipsy Remix)||1:03||||60||
Lil Peep||||Right Here||2:58||||60||
CRIM3S||Stay Ugly EP||stay ugly||2:29||||59||
Dax J||The World Of Monnom Black||Opressor||6:30||||59||
Outkast||Stankonia||Ms Jackson||4:35||||59||
Underoath||Define The Great Line||In Regards To Myself||3:25||||59||
Odesza||||Falls (The Knocks Get Up Mix)||4:44||||58||
||||Phoebe RyanChronic (The Knocks High in Harajuku Remix).mp3||4:30||||58||
BTS||||Fake Love||4:03||||57||
Crystal Castles||Crystal Castles||Vietnam||5:07||||57||
Dragonette||||Pick Up The Phone (Michael Van She Remix)||5:19||||57||
Anamanaguchi||Prom Night 2014 Single||Prom Night (2k14 Radio Edit)||3:54||||56||
Caboose||||Simple Sonata1.2||1:27||||56||
Crystal Castles||||Leni (Dolorem Ipsum Fux)||4:13||||56||
Dance Gavin Dance||Dance Gavin Dance||Uneasy Hearts Weigh the Most||3:39||||56||
deadmau5||||Imaginary Friends (i_o Remix)||6:17||||56||
Flight Facilities||||Crave You (feat. Giselle)||3:52||||56||
Lil Peep||Come over When You're Sober, Pt. 1||Problems||3:30||||56||
Caboose||||Taste of Bass||25:00||||55||
Childish Gambino||Because The Internet (Deluxe Edition)||3005||3:54||||55||
JPEGMAFIA||||1539 N. Calvert||2:44||||55||
Twice||||Likey||3:31||||55||
Grimes||Art Angels||Butterfly||4:13||||54||
Mayeul & JKS||Triangulation Hill [MLKL006]||Triangulation Hill||6:28||||54||
Purity Ring||Shrines||Belispeak||3:01||||54||
Thrice||The Alchemy Index Vols. III & IV Air And Earth||Digging My Own Grave||3:05||||54||
Asking Alexandria||Reckless And Relentless||Dear Insanity||3:10||||53||
Caboose||||No Chill Fest||1:05||||53||
Sirah||||Say My Name||3:28||||53||
Childish Gambino||Because The Internet (Deluxe Edition)||Sweatpants||3:00||||52||
Blood Diamonds||Phone Sex||Phone Sex (feat. Grimes)||4:18||||51||
Dance Gavin Dance||Acceptance Speech||Turn Off the Lights. I'm Watching Back to the Future pt. II||6:00||||51||
Dax J||The Invisible Man EP||Wir Leben Für Die Nacht||6:03||||51||
Downloaded from Mp3Truck.Net||Downloaded from Mp3Truck.Net||Girls' Generation 소녀시대 - Visual Dreams (Robotaki Remix) [Mp3Truck.Net]||5:13||||51||
Skrillex||Myspace||Make Things For Smile||5:47||||51||
Underoath||Define The Great Line||Moving For The Sake Of Motion||3:16||||51||
Wet||||Youre The Best (Cyril Hahn Remix)||5:11||||51||
Alexisonfire||Crisis||Boiled Frogs||3:57||||50||
jai paul||||jasmine (ilo ilo rework)||3:42||||50||
My Chemical Romance||Three Cheers For Sweet Revenge||Cemetery Drive||3:08||||50||
6LACK||||PRBLMS (Mark Johns edit, prod. Judge||3:49||||49||
Cashmere Cat||||FOR YOUR EYES ONLY||3:09||||49||
Childish Gambino||Because The Internet (Deluxe Edition)||WORLDSTAR||4:04||||49||
Crystal Castles||||Leni||4:15||||49||
Fraktur||||Chemical Burst||6:31||||49||
KiD CuDi||Man On The Moon: The End Of Day||Up, Up, And Away (The Wake And Bake Song)||3:47||||49||
Mark Johns||||BTFU (Mommy Issues)||3:26||||49||
Perfume||||Fushizen na Girl (Natural ni Koishite Single)||3:59||||49||
Skrillex||soundcloud.com/gosteffects||Fire Away (Gosteffects Remix)||5:49||||48||
||||We Winning Spider||3:33||||48||
6LACK||||PRBLMS||4:09||||47||
Dance Gavin Dance||Dance Gavin Dance||Caviar (feat. Chino Moreno)||4:16||||47||
Dance Gavin Dance||||TOTL,IWBTHF 143bpm [ipsy-dory cloud techno remix]_v1.2.1||1:29||||47||
Former||||Edge Mecha||4:50||||47||
Giraffage||||Better Off Alone||4:26||||47||
Lil Peep||||Hollywood Dreaming ft Lil Peep||2:07||||47||
Thrice||The Alchemy Index Volume III (Air)||Daedalus||6:01||||47||
Underoath||Define The Great Line||There Could Be Nothing After This||3:27||||47||
Underoath||Define The Great Line||You're Ever So Inviting||4:14||||47||
Alex Zelenka||||Destroy Me||6:02||||46||
Asking Alexandria||Reckless And Relentless||Closure||3:58||||46||
blank body||||HIGHRISE||4:11||||46||
Bring Me The Horizon||Suicide Season||The Comedown||5:10||||46||
Caboose||||Nowhere Jamz v0.1||2:38||||46||
Caboose x Dolorem Ipsum||||jroq1||3:47||||46||
Dance Gavin Dance||Acceptance Speech||Death of the Robot with Human Hair||5:07||||46||
Lights||Lights||Saviour||3:29||||46||
Mark Johns||||Molino||3:40||||46||
Star Slinger||||We Could Be More (Feat. D∆WN)(Cyril Hahn Remix)||4:21||||46||
XXXTENTACION||17||Everybody Dies In Their Nightmares||1:36||||46||
Asking Alexandria||Reckless And Relentless||A Lesson Never Learned||3:55||||45||
Jaden Smith||||Batman||3:01||||45||
The M Machine||Metropolis Pt. 2||Luma||9:00||||45||
Underoath||Define The Great Line||A Moment Suspended In Time||4:00||||45||
Underoath||Define The Great Line||Writing On The Walls||4:03||||45||
WEDNESDAY CAMPANELLA||Galapagos||Melos (Original Mix)||3:58||||45||
XXXTENTACION||||SAD!||2:47||||45||
血肉果汁機||GIGO||登陸月球||3:01||||45||
Asking Alexandria||Reckless And Relentless||To The Stage||3:31||||44||
Broadway||||The Same Thing We Do Everyday Pinky||4:45||||44||
Cashmere Cat||||Trust Nobody (ADRM + MARVILTRON Remix)||2:58||||44||
Cashmere Cat||||Trust Nobody (feat. Selena Gomez  Tory Lanez)||3:36||||44||
Cashmere Cat||||Trust Nobody (Star Slinger Remix)||3:36||||44||
Cuco||||Lover Is A Day||7:37||||44||
Dance Gavin Dance||Acceptance Speech||Acceptance Speech||4:26||||44||
From First To Last||Dear Diary, My Teen Angst Has A Body Count||Ride The Wings Of Pestilence||3:45||||44||
Hephaistos||Mutter [MUTTER001]||Mutter||5:20||||44||
Mayeul & JKS||Triangulation Hill [MLKL006]||Rendlesham Incident||8:33||||44||
Brand New||The Devil and God Are Raging Inside Me||Untitled 2||4:59||||43||
Childish Gambino||Because The Internet (Deluxe Edition)||Zealots Of Stockholm (Free Information)||4:50||||43||
Kali Uchis||||After The Storm ft. Tyler, The Creator, Bootsy Collins||3:28||||43||
[MV] Perfume「ねぇ」||||「ねぇ」 Nee||4:27||||43||
My Chemical Romance||Three Cheers For Sweet Revenge||I'm Not Okay (I Promise)||3:09||||43||
My Chemical Romance||Three Cheers For Sweet Revenge||The Ghost Of You||3:15||||43||
pennybirdrabbit||For Love EP||Look For Love||3:44||||43||
Phonat||Identity Theft EP||Ride The Prejudice||3:49||||43||
Shiina Ringo||Shiina Ringo||Poltergeist||3:44||||43||
Crystal Castles||(III)||Pale Flesh||2:59||||42||
Dance Gavin Dance||Dance Gavin Dance||Me and Zoloft Get Along Fine||3:06||||42||
Higher Brothers||||08. Wudidong||4:05||||42||
Incubus||||Anna Molly||3:47||||42||
Lorn||||Sega Sunset||2:58||||42||
Lucy Rose||||Shiver (Oneira Cover)||3:54||||42||
Travis Scott||||Goosebumps||4:04||||42||
Wagakki_Band||||Akatsukino_Ito||3:26||||42||
Wilkinson & Dimension||||Rush||4:29||||42||
Attila||Guilty Pleasure||Rebel||3:18||||41||
Belly||Up For Days||Might Not (feat. The Weeknd)||3:45||||41||
Every Time I Die||||Map Change||4:57||||41||
Flume||||Say It (ft. Tove-Lo) [Anna Lunoe Remix]||4:12||||41||
Jauz & Netsky||||Higher (KAYZO Remix)||3:38||||41||
||Fearless Records||Ice Nine Kills - Communion of the Cursed||4:41||||41||
||||Donnie Trumpet & The Social Experiment - Sunday Candy||3:48||||41||
Ambassador21||Love, Death & Robots OST||We Are Legion (Matt Green Remix)||5:48||||40||
Galantis & Throttle||The Aviary||Tell Me You Love Me||3:23||||40||
Higher Brothers||||Lover Boy 88 (Head In The Clouds Excerpt) feat. Phum Viphurit||2:28||||40||
Higher Brothers x HARIKIRI||||Storm||2:37||||40||
Rosemary Fairweather||||Chemicals||3:52||||40||
Underoath||Define The Great Line||Returning Empty Handed||4:28||||40||
Crystal Castles||||Not In Love ft. Robert Smith of The Cure||3:48||||39||
Mark Johns||Molino||Bacardi||4:03||||39||
Overclocked||||Quae Moriatur||6:39||||39||
Underoath||Define The Great Line||Everyone Looks So Good From Here||2:57||||39||
Dance Gavin Dance||Dance Gavin Dance||Rock Solid (feat. Matt Geise)||5:06||||38||
Ghost Voices Official Music Video||||Virtual Self||3:53||||38||
Grimes||||We Appreciate Power||5:43||||38||
Jai Wolf||||Lose My Mind (feat Mr Gabriel)||4:19||||38||
Pomplamoose||Tribute to Famous People||September||2:57||||38||
Tinashe||||Vulnerable feat. Travi$ Scott (Blood Diamonds Remix)||4:55||||38||
Young Thug||||Check||3:50||||38||
嘘とカメレオン||||されど奇術師は賽を振る||3:30||||38||
血肉果汁機||GIGO||帶上血肉||2:01||||38||
血肉果汁機||GIGO||血肉宮||4:12||||38||
Higher Brothers [MASIWEI]||||Super Saiyan Broly Freestyle||2:11||||37||
Higher Brothers x HARIKIRI||||Nothing Wrong||3:06||||37||
In This Moment||zvukoff.ru||Sick Like Me||5:01||||37||
Philo||||One of One (Lonely But Not When You Hold Me)||1:33||||37||
Skrillex & Habstrakt||||Chicken Soup||3:28||||37||
Thrice||The Alchemy Index Vols. III & IV Air And Earth||Daedalus||6:01||||37||
Yumi Zouma||||Barricade (Matter Of Fact)||3:04||||37||
任賢齊||為愛走天涯 [Disc 2]||死不了||4:30||||37||
Absurd||ERDS019 - Absurd||Amerikabomber (Original mix)||6:35||||36||
Dolorem Ipsum||||Impending Sparkles||1:31||||36||
Dolorem Ipsum||||Tell Me You Love Me (Ipsy-Dory Remix)||2:04||||36||
FJAAK||||Phonox [FJAAK005]||6:56||||36||
Grimes||Art Angels||Kill V. Maim||4:07||||36||
Higher Brothers||||02. Isabellae||2:37||||36||
Mark The Beast x Nitepunk||||Rockin It||3:47||||36||
My Chemical Romance||Three Cheers For Sweet Revenge||The Jetset Life Is Gonna Kill You||3:38||||36||
TWICE||||Signal||3:24||||36||
Aesop Rock||||Hot Dogs||3:48||||35||
Attila||Guilty Pleasure||Hate Me||3:41||||35||
Dance Gavin Dance||||Me and Zoloft Get Along Just Fine Tree City Sessions||3:09||||35||
EMI||Planet||Embob (Prod Bobby Raps & AXLFOLIE).mp3||2:06||||35||
Grimes||Art Angels||World Princess part II||5:06||||35||
Hey Champ||||Cold Dust Girl Remix (Gemini Club Remix)||8:08||||35||
Housse De Racket||Vlad3335||Roman (Robotaki Remix)||5:25||||35||
Kayzo||||This Time||2:51||||35||
Lord RAJA||||Van Go (feat. Jeremiah Jae)||2:05||||35||
Mark Johns||Molino||Chapstick||3:01||||35||
Mark Johns||||Before You||3:17||||35||
Shanghai Restoration Project||||Miss Shanghai||3:22||||35||
Sylar||Help!||Assume||3:23||||35||
Travis scott ft Young thug and Quavo||||Pick up the phone||4:11||||35||
Avenged Sevenfold||||A Little Piece Of Heaven (Live in the LBC)||8:40||||34||
Caboose||||Simple Sonata v1.1.1||1:43||||34||
Caboose||||Tearful Feels MiniMix||8:45||||34||
Childish Gambino||Because The Internet (Deluxe Edition)||Crawl||3:29||||34||
Dance Gavin Dance||Acceptance Speech||Honey Revenge||3:28||||34||
Hephaistos||Mutter [MUTTER001]||Descension||5:30||||34||
Ji||||euns Sunset - City Girl||2:48||||34||
Lil Peep||||girls||2:25||||34||
MARINA AND THE DIAMONDS||Electra Heart||PRIMA DONNA||3:42||||34||
Massive Attack||||Voodoo In My Blood (feat. Young Fathers)||5:22||||34||
Modest Mouse||We Were Dead Before The Ship Even Sank||Dashboard||4:07||||34||
My Chemical Romance||Three Cheers For Sweet Revenge||Helena||3:25||||34||
Passion Pit & Pogo||||Reeling Alice||4:56||||34||
Thrice||The Alchemy Index Volume III (Air)||The Sky Is Falling||4:22||||34||
Underoath||Define The Great Line||Salmarnir||2:58||||34||
